source,recipient,issueDomain,amount,flowType,traceability,largeDonorShare,sourceRecordId,sourceUrl,committeeType,spendingPurpose,supportOppose,disclosureLag
ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,Opaque issue-advocacy capacity,technology,0.3287,DARK_MONEY,0.2400,0.6400,521006053,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.3251,DARK_MONEY,0.2400,0.6400,383676760,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CENTER FOR AMERICAN PROGRESS ACTION FUND,Opaque issue-advocacy capacity,democracy,0.2686,DARK_MONEY,0.1200,0.7400,300192708,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN GAS ASSOCIATION,Opaque issue-advocacy capacity,energy,0.2539,DARK_MONEY,0.2400,0.6400,130431590,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ENTERTAINMENT SOFTWARE ASSOCIATION,Opaque issue-advocacy capacity,technology,0.2444,DARK_MONEY,0.2400,0.6400,133768378,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF SOCIAL WORKERS INC,Opaque issue-advocacy capacity,democracy,0.2289,DARK_MONEY,0.2400,0.6400,135643515,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
SOLAR ENERGY INDUSTRIES ASSOCIATION INC,Opaque issue-advocacy capacity,energy,0.2257,DARK_MONEY,0.2400,0.6400,521072179,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CRUISE LINES INTERNATIONAL ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.2230,DARK_MONEY,0.2400,0.6400,132600946,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
RECORD INDUSTRY ASSOCIATION OF AMERICA INC,Opaque issue-advocacy capacity,democracy,0.2228,DARK_MONEY,0.2400,0.6400,131669037,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ALLIANCE FOR REGENERATIVE MEDICINE,Opaque issue-advocacy capacity,democracy,0.2213,DARK_MONEY,0.1200,0.7400,270486705,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF REAL ESTATE INVESTMENT TRUST INC,Opaque issue-advocacy capacity,democracy,0.2185,DARK_MONEY,0.2400,0.6400,273586050,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
FUTURES INDUSTRY ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.2165,DARK_MONEY,0.2400,0.6400,135642275,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
BANK POLICY INSTITUTE,Opaque issue-advocacy capacity,finance,0.2119,DARK_MONEY,0.2400,0.6400,360753125,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN ASSOCIATION FOR JUSTICE,Opaque issue-advocacy capacity,democracy,0.2074,DARK_MONEY,0.2400,0.6400,042114561,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
BETTER MEDICARE ALLIANCE INC,Opaque issue-advocacy capacity,democracy,0.2061,DARK_MONEY,0.1200,0.7400,474633356,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INSTITUTE OF INTERNATIONAL FINANCE INC,Opaque issue-advocacy capacity,finance,0.2050,DARK_MONEY,0.2400,0.6400,521289843,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN PUBLIC TRANSIT ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.2013,DARK_MONEY,0.2400,0.6400,521007647,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL CONFECTIONERS ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.1950,DARK_MONEY,0.2400,0.6400,361521980,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INTERNATIONAL BAR ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.1893,DARK_MONEY,0.2400,0.6400,131660722,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
HERITAGE ACTION FOR AMERICA,Opaque issue-advocacy capacity,democracy,0.1861,DARK_MONEY,0.1200,0.7400,272244700,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL MULTIFAMILY HOUSING COUNCIL,Opaque issue-advocacy capacity,democracy,0.1775,DARK_MONEY,0.2400,0.6400,521127504,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
COUNCIL OF INSURANCE AGENTS & BROKERS,Opaque issue-advocacy capacity,finance,0.1763,DARK_MONEY,0.2400,0.6400,131952497,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
B S A BUSINESS SOFTWARE ALLIANCE,Opaque issue-advocacy capacity,technology,0.1758,DARK_MONEY,0.2400,0.6400,061242574,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
HEALTHCARE DISTRIBUTION ALLIANCE HDA,Opaque issue-advocacy capacity,democracy,0.1704,DARK_MONEY,0.2400,0.6400,131088150,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN HOTEL & LODGING ASSOCIATION DIRECTORY CORPORATION,Opaque issue-advocacy capacity,democracy,0.1649,DARK_MONEY,0.2400,0.6400,130432130,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
U S RUSSIA FOUNDATION FOR ECNOMIC ADVANCEMENT AND THE RULE OF LAW,Opaque issue-advocacy capacity,democracy,0.1618,DARK_MONEY,0.1200,0.7400,010732928,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
REPUBLICAN JEWISH COALITION,Opaque issue-advocacy capacity,democracy,0.1605,DARK_MONEY,0.1200,0.7400,521386172,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INTERNATIONAL FRANCHISE ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.1548,DARK_MONEY,0.2400,0.6400,366108621,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
PERSONAL CARE PRODUCTS COUNCIL,Opaque issue-advocacy capacity,democracy,0.1510,DARK_MONEY,0.2400,0.6400,131390920,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF CORPORATE COUNSEL,Opaque issue-advocacy capacity,democracy,0.1493,DARK_MONEY,0.2400,0.6400,521267965,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INSTITUTE OF SCRAP RECYCLING INDUSTRIES INC,Opaque issue-advocacy capacity,democracy,0.1418,DARK_MONEY,0.2400,0.6400,311205596,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CERTIFIED AUTOMOTIVE PARTS ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.1399,DARK_MONEY,0.2400,0.6400,521555372,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN COUNCIL OF ENGINEERING COMPANIES INC,Opaque issue-advocacy capacity,democracy,0.1372,DARK_MONEY,0.2400,0.6400,520745115,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN IMMIGRATION LAWYERS ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.1361,DARK_MONEY,0.2400,0.6400,237085097,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
RETAIL INDUSTRY LEADERS ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.1343,DARK_MONEY,0.2400,0.6400,042395151,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INFORMATION TECHNOLOGY INDUSTRY COUNCIL LTD,Opaque issue-advocacy capacity,technology,0.1333,DARK_MONEY,0.2400,0.6400,131954338,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
FOUNDATION FOR ADVANCING ALCOHOL RESPONSIBILITY,Opaque issue-advocacy capacity,democracy,0.1242,DARK_MONEY,0.1200,0.7400,363704297,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF AMERICAN PUBLISHERS INC,Opaque issue-advocacy capacity,democracy,0.1136,DARK_MONEY,0.2400,0.6400,132660200,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY AND MEDICARE,Opaque issue-advocacy capacity,democracy,0.1023,DARK_MONEY,0.1200,0.7400,521312579,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ALLIANCE FOR YOUTH ACTION,Opaque issue-advocacy capacity,democracy,0.0969,DARK_MONEY,0.1200,0.7400,462914731,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN CLEANING INSTITUTE,Opaque issue-advocacy capacity,democracy,0.0966,DARK_MONEY,0.2400,0.6400,130452400,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC,Opaque issue-advocacy capacity,democracy,0.0958,DARK_MONEY,0.2400,0.6400,520971454,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
PUBLIC AFFAIRS COUNCIL INC,Opaque issue-advocacy capacity,democracy,0.0922,DARK_MONEY,0.1200,0.7400,131790733,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN PROPERTY OWNERS ALLIANCE,Opaque issue-advocacy capacity,democracy,0.0826,DARK_MONEY,0.1200,0.7400,364956297,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CENTER FOR COMMUNITY CHANGE ACTION,Opaque issue-advocacy capacity,democracy,0.0814,DARK_MONEY,0.1200,0.7400,270061100,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
DESTINATION MARKETING ASSOCIATION INTERNATIONAL,Opaque issue-advocacy capacity,democracy,0.0813,DARK_MONEY,0.2400,0.6400,310507334,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
FARM CREDIT COUNCIL,Opaque issue-advocacy capacity,finance,0.0795,DARK_MONEY,0.2400,0.6400,521275264,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
FINANCIAL SERVICES INSTITUTE INC,Opaque issue-advocacy capacity,democracy,0.0725,DARK_MONEY,0.2400,0.6400,200587793,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF UNIVERSITY TECHNOLOGY MANAGERS,Opaque issue-advocacy capacity,technology,0.0722,DARK_MONEY,0.2400,0.6400,363011951,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
TAX EXECUTIVES INSTITUTE INC,Opaque issue-advocacy capacity,finance,0.0706,DARK_MONEY,0.2400,0.6400,520239291,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
REINSURANCE ASSOCIATION OF AMERICA,Opaque issue-advocacy capacity,finance,0.0678,DARK_MONEY,0.2400,0.6400,520882723,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,Opaque issue-advocacy capacity,technology,0.0675,DARK_MONEY,0.2400,0.6400,133182027,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF STATE WORKFORCE AGENCIES,Opaque issue-advocacy capacity,democracy,0.0674,DARK_MONEY,0.1200,0.7400,520978073,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
SOFTWARE PUBLISHERS ASSOCIATION,Opaque issue-advocacy capacity,technology,0.0671,DARK_MONEY,0.2400,0.6400,521329859,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
BUILDING OWNERS & MANAGERS ASSOCIATION INTERNATIONAL,Opaque issue-advocacy capacity,democracy,0.0665,DARK_MONEY,0.2400,0.6400,361520580,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL PHARMACEUTICAL COUNCIL INC,Opaque issue-advocacy capacity,democracy,0.0656,DARK_MONEY,0.2400,0.6400,131772100,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF HOME APPLIANCE MANUFACTURERS,Opaque issue-advocacy capacity,democracy,0.0649,DARK_MONEY,0.2400,0.6400,362615812,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL GAY & LESBIAN CHAMBER OF COMMERCE,Opaque issue-advocacy capacity,democracy,0.0646,DARK_MONEY,0.2400,0.6400,134219714,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF THEATRE OWNERS,Opaque issue-advocacy capacity,democracy,0.0643,DARK_MONEY,0.2400,0.6400,131580907,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL ASSOCIATION OF CLEAN WATER AGENCIES,Opaque issue-advocacy capacity,democracy,0.0643,DARK_MONEY,0.2400,0.6400,237088488,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
VINYL INSTITUTE INC,Opaque issue-advocacy capacity,democracy,0.0610,DARK_MONEY,0.2400,0.6400,510391748,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
BIPARTISAN POLICY CENTER ACTION INC,Opaque issue-advocacy capacity,democracy,0.0591,DARK_MONEY,0.1200,0.7400,261299114,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL PROPANE GAS ASSOCIATION INC,Opaque issue-advocacy capacity,energy,0.0585,DARK_MONEY,0.2400,0.6400,362087363,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
COIN CENTER INC,Opaque issue-advocacy capacity,democracy,0.0584,DARK_MONEY,0.1200,0.7400,471315917,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
FOOD & WATER ACTION FUND,Opaque issue-advocacy capacity,democracy,0.0565,DARK_MONEY,0.1200,0.7400,320160436,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL VENTURE CAPITAL ASSOCIATION,Opaque issue-advocacy capacity,finance,0.0565,DARK_MONEY,0.2400,0.6400,521296842,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
INSURED RETIREMENT INSTITUTE INC,Opaque issue-advocacy capacity,democracy,0.0557,DARK_MONEY,0.2400,0.6400,061328907,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF DENTAL SUPPORT ORGANIZATIONS,Opaque issue-advocacy capacity,democracy,0.0554,DARK_MONEY,0.2400,0.6400,260170284,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
GENERAL AVIATION MANUFACTURERS ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.0553,DARK_MONEY,0.2400,0.6400,520897278,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN CLINICAL LABORATORY ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.0547,DARK_MONEY,0.2400,0.6400,237173945,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN EXPLORATION & PRODUCTION COUNCIL INC,Opaque issue-advocacy capacity,democracy,0.0541,DARK_MONEY,0.2400,0.6400,521042125,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
RENEWABLE FUELS ASSOCIATION,Opaque issue-advocacy capacity,democracy,0.0528,DARK_MONEY,0.2400,0.6400,521203707,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ALLIANCE FOR PATIENT ACCESS,Opaque issue-advocacy capacity,democracy,0.0526,DARK_MONEY,0.1200,0.7400,205130312,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
OUT-OF-HOME ADVERTISING ASSOCIATION OF AMERICA,Opaque issue-advocacy capacity,democracy,0.0511,DARK_MONEY,0.2400,0.6400,361589720,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CORN REFINERS ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.0484,DARK_MONEY,0.2400,0.6400,520230814,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
AMERICAN IRON AND STEEL INSTITUTE,Opaque issue-advocacy capacity,democracy,0.0483,DARK_MONEY,0.2400,0.6400,131832448,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION FOR HEALTH CENTER AFFILIATED HEALTH PLANS,Opaque issue-advocacy capacity,democracy,0.0481,DARK_MONEY,0.2400,0.6400,050509791,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
NATIONAL HYDROPOWER ASSOCIATION INC,Opaque issue-advocacy capacity,democracy,0.0460,DARK_MONEY,0.2400,0.6400,521339888,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
CENTER FOR INNOVATIVE POLICY,Opaque issue-advocacy capacity,democracy,0.0456,DARK_MONEY,0.1200,0.7400,020747896,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(4) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
US CHINA BUSINESS COUNCIL,Opaque issue-advocacy capacity,democracy,0.0454,DARK_MONEY,0.2400,0.6400,237275160,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
ASSOCIATION OF FISH AND WILDLIFE AGENCIES,Opaque issue-advocacy capacity,democracy,0.0449,DARK_MONEY,0.2400,0.6400,416029770,https://www.irs.gov/pub/irs-soi/eo_dc.csv,501(c)(6) capacity proxy,opaque nonprofit advocacy capacity proxy,,0.5500
