scope,source,metric,value,evidenceType,notes
snapshot,intermediary,intermediaryTotalRevenue,4148.8681,observed_proxy,sum of normalized intermediary revenue
snapshot,intermediary,intermediaryPoliticalSpendShare,0.0105,observed_proxy,political spend share of normalized intermediary revenue
snapshot,intermediary,intermediaryTop3RevenueShare,0.1805,observed_proxy,top three intermediary organizations by revenue
snapshot,intermediary,intermediaryDonorDisclosureMean,0.6461,observed_proxy,mean donor/source disclosure score
snapshot,intermediary,intermediaryAssociationShare,0.1489,observed_proxy,share of rows marked 501(c)(6) association
snapshot,intermediary,intermediaryC4Share,0.0410,observed_proxy,share of rows marked 501(c)(4) social welfare
snapshot,intermediary,intermediaryC3Share,0.3962,observed_proxy,share of rows marked 501(c)(3) nonprofit
snapshot,intermediary,intermediary527PoliticalSpendShare,0.0000,observed_proxy,527/IRS 8872 share of intermediary political spending
snapshot,intermediary,intermediaryGrantmakingShare,0.0120,observed_proxy,grantmaking share of normalized intermediary revenue
fixture,lda,ldaRows,4.0000,observed,normalized LDA rows
fixture,lda,ldaTotalSpend,30.5000,observed,sum of normalized LDA amount
fixture,lda,lobbyingClientTop1Share,0.2984,observed,largest client share of normalized LDA amount
fixture,lda,lobbyingClientTop3Share,0.8230,observed,top three clients share of normalized LDA amount
fixture,lda,lobbyingRegistrantTop3Share,0.8230,observed,top three registrants share of normalized LDA amount
fixture,lda,lobbyingSectorTopShare,0.2984,observed,largest issue-domain share of normalized LDA amount
fixture,lda,lobbyingDisclosureLagMean,0.4925,observed,mean normalized LDA disclosure lag
fixture,lda,coveredOfficialShareMean,0.2500,observed_proxy,mean share of covered-official contact visibility
fixture,lda,lobbyingClientHerfindahl,0.2580,observed,client concentration Herfindahl over normalized LDA amount
fixture,fec,fecRows,5.0000,observed,normalized OpenFEC rows
fixture,fec,fecTotalReceipts,20.8000,observed,sum of normalized FEC amount
fixture,fec,fecDonorTop1Share,0.3269,observed,largest donor share of normalized FEC amount
fixture,fec,fecDonorTop3Share,0.7356,observed,top three donor share of normalized FEC amount
fixture,fec,fecDonorGini,0.1981,observed,donor amount Gini across normalized FEC rows
fixture,fec,fecRecipientTop3Share,1.0000,observed,top three recipient share of normalized FEC amount
fixture,fec,fecLargeDonorWeightedShare,0.6081,observed_proxy,amount-weighted normalized large donor share
fixture,fec,moneyFlowTraceability,0.6648,observed_proxy,amount-weighted traceability across all normalized FEC rows
fixture,fec,darkMoneyRows,1.0000,observed_proxy,DARK_MONEY rows from FEC or explicit dark-money/opaque-capacity bridge panels
fixture,fec,darkMoneyDirectVisibility,0.2400,inferred,amount-weighted traceability among DARK_MONEY bridge rows only
fixture,fec,darkMoneySourceShare,0.0905,observed_proxy,DARK_MONEY or opaque-capacity bridge share of normalized campaign-finance plus bridge amount
fixture,fec,superPacSourceShare,0.1067,observed_proxy,SUPER_PAC share of normalized campaign-finance plus bridge amount
fixture,fec,opaqueElectoralSourceShare,0.1972,observed_proxy,DARK_MONEY plus SUPER_PAC share of normalized campaign-finance plus bridge amount
fixture,fec,outsideSpendingRows,2.0000,observed,"normalized independent expenditure, super PAC, dark-money, or association rows"
fixture,fec,outsideSpendingSourceShare,0.1972,observed_proxy,outside-spending bridge share of normalized campaign-finance plus bridge amount
fixture,fec,outsideSpendingTop3SourceShare,1.0000,observed_proxy,top three outside spenders by normalized amount
fixture,fec,outsideSpendingDisclosureLagMean,0.2800,observed_proxy,amount-weighted reporting lag among outside-spending rows
fixture,fec,publicFinancingRows,5.0000,observed_proxy,public-match or voucher rows from FEC or explicit public-financing panel
fixture,fec,publicFinancingProgramAmount,18.4000,observed_proxy,sum of public-match and voucher bridge amount
fixture,fec,publicFinancingSourceShare,0.4269,observed_proxy,public-match or voucher share of normalized campaign-finance plus bridge amount
fixture,fec,publicFinancingTraceabilityMean,0.9638,observed_proxy,amount-weighted traceability among public-financing rows
fixture,fec,publicFinancingLargeDonorWeightedShare,0.1179,observed_proxy,amount-weighted large-donor share among public-financing rows
fixture,regulatory,regulatoryRows,4.0000,observed,normalized regulatory rows
fixture,regulatory,commentVolumeMean,1147.5000,observed_proxy,mean normalized comment volume
fixture,regulatory,commentVolumeTop1DocketShare,0.3922,observed_proxy,largest docket share of normalized comments
fixture,regulatory,commentTemplateShareMean,0.4800,observed_proxy,mean normalized template share
fixture,regulatory,commentAuthenticationShareMean,0.3100,observed_proxy,mean normalized authentication share
fixture,regulatory,commentFloodingIndex,0.4888,proxy,"combined top-docket concentration, template share, and low-authentication pressure"
fixture,regulatory,technicalClaimCredibilityMean,0.4875,proxy,mean normalized technical claim credibility
fixture,usaspending,procurementRows,5.0000,observed,normalized USAspending award rows
fixture,usaspending,procurementBridgeRows,0.0000,observed,"multi-agency USAspending bridge rows, if available"
fixture,usaspending,procurementActionRows,5.0000,observed,"normalized USAspending transaction/action rows, if available"
fixture,usaspending,procurementCompetitionPanelRows,5.0000,diagnostic,rows used for competition moments from normalized USAspending award rows with competition fields
fixture,usaspending,procurementModificationPanelRows,5.0000,diagnostic,rows used for modification moments from normalized USAspending transaction/action rows
fixture,usaspending,procurementBridgeAgencyCount,0.0000,observed,distinct awarding agencies in procurement source moment panel
fixture,usaspending,procurementBridgeTopAwardSample,0.0000,diagnostic,1 when procurement concentration moments use a multi-agency top-award bridge
fixture,usaspending,procurementLatestTransactionModificationProxy,0.0000,diagnostic,1 when latest-transaction enrichment exists but is kept separate from action-level modification incidence
fixture,usaspending,procurementTotalAwards,700.0000,observed,sum of normalized USAspending award rows amount
fixture,usaspending,procurementRecipientTop1Share,0.3429,observed,largest recipient share of normalized USAspending award rows amount
fixture,usaspending,procurementRecipientTop3Share,0.8143,observed,top three recipients share of normalized USAspending award rows amount
fixture,usaspending,procurementRecipientHerfindahl,0.2469,observed,recipient award-amount Herfindahl over normalized USAspending award rows
fixture,usaspending,procurementAgencyTop1Share,1.0000,observed,largest awarding agency share of normalized USAspending award rows amount
fixture,usaspending,procurementAgencyHerfindahl,1.0000,observed,awarding-agency amount Herfindahl over normalized USAspending award rows
fixture,usaspending,procurementSubAgencyTop3Share,0.8143,observed,top three sub-agencies share of normalized USAspending award rows amount
fixture,usaspending,procurementAwardCount,48.0000,observed,sum of normalized award or transaction counts in normalized USAspending award rows
fixture,usaspending,procurementSingleBidShare,0.4000,observed_proxy,share among normalized USAspending award rows with competition fields that have one known offer
fixture,usaspending,procurementAmountWeightedSingleBidShare,0.3429,observed_proxy,award-amount share among normalized USAspending award rows with competition fields with one known offer
fixture,usaspending,procurementInitialAwardShare,0.6000,observed_proxy,share of normalized USAspending transaction/action rows that appear to be initial awards
fixture,usaspending,procurementExPostModificationShare,0.4000,observed_proxy,share of normalized USAspending transaction/action rows marked as ex-post modifications or nonzero modification sequence
fixture,usaspending,procurementAmountWeightedModificationShare,0.1398,observed_proxy,award-amount share of normalized USAspending transaction/action rows marked as ex-post modifications
fixture,usaspending,procurementActionModificationRows,2.0000,diagnostic,transaction/action rows marked as ex-post modifications
fixture,usaspending,procurementPriceOnlyAwardShare,0.4000,observed_proxy,share among normalized USAspending award rows with competition fields marked as price-only or one-offer awards
fixture,usaspending,procurementLimitedCompetitionShare,0.4000,observed_proxy,"share among normalized USAspending award rows with competition fields with limited competition, exclusions, or one known offer"
fixture,usaspending,procurementProtestShare,0.0000,observed_proxy,share of normalized award rows marked with a protest flag
fixture,usaspending,procurementExclusionShare,0.0000,observed_proxy,share among normalized USAspending award rows with competition fields marked as exclusions or after-exclusion competition
fixture,usaspending,procurementFirewallCoverageShare,0.6000,observed_proxy,share of normalized award rows covered by a procurement-firewall flag
fixture,usaspending,procurementKnownUeiShare,1.0000,diagnostic,share of normalized award rows carrying a recipient UEI
fixture,usaspending,procurementKnownPiidShare,1.0000,diagnostic,share of normalized award rows carrying a procurement instrument identifier
fixture,revolving-door,revolvingDoorRows,14.0000,observed,normalized revolving-door rows
fixture,revolving-door,revolvingDoorFixtureShare,1.0000,diagnostic,share of rows marked as tracked fixture rather than live/exported source
fixture,revolving-door,revolvingDoorFormerOfficialShare,0.7857,observed_proxy,share of rows with former official role
fixture,revolving-door,revolvingDoorAgencyTop1Share,0.4286,observed_proxy,largest agency share of normalized revolving-door rows
fixture,revolving-door,revolvingDoorCoolingOffUnderOneYearShare,0.5000,observed_proxy,share of rows with cooling-off interval below one year
fixture,revolving-door,revolvingDoorCoolingOffMeanMonths,15.5714,observed_proxy,mean cooling-off interval in months
fixture,revolving-door,revolvingDoorHighInfluenceShare,0.4286,proxy,share of rows with high normalized influence
fixture,revolving-door,revolvingDoorInfluenceWeightedFormerOfficialShare,0.8781,proxy,influence-weighted former-official share
fixture,revolving-door,revolvingDoorInfluenceMean,0.5507,proxy,mean normalized influence share from source panel
fixture,revolving-door,revolvingDoorConfidenceMean,0.6386,diagnostic,mean source-match confidence for revolving-door records
fixture,intermediary,intermediaryRows,6.0000,observed,"normalized nonprofit, 527, association, or think-tank intermediary rows"
fixture,intermediary,intermediaryTotalRevenue,137.1000,observed_proxy,sum of normalized intermediary revenue
fixture,intermediary,intermediaryPoliticalSpendShare,0.1670,observed_proxy,political spend share of normalized intermediary revenue
fixture,intermediary,intermediaryTop3RevenueShare,0.7126,observed_proxy,top three intermediary organizations by revenue
fixture,intermediary,intermediaryDonorDisclosureMean,0.5300,observed_proxy,mean donor/source disclosure score
fixture,intermediary,intermediaryAssociationShare,0.3333,observed_proxy,share of rows marked 501(c)(6) association
fixture,intermediary,intermediaryC4Share,0.1667,observed_proxy,share of rows marked 501(c)(4) social welfare
fixture,intermediary,intermediaryC3Share,0.3333,observed_proxy,share of rows marked 501(c)(3) nonprofit
fixture,intermediary,intermediary527PoliticalSpendShare,0.4192,observed_proxy,527/IRS 8872 share of intermediary political spending
fixture,intermediary,intermediaryGrantmakingShare,0.1751,observed_proxy,grantmaking share of normalized intermediary revenue
